                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6267,                 8.8842,                0.65172,                0.92184,                   1.79,                0.86143,                0.87837,                0.92898,                0.52709,                0.03934,                0.04326,                0.00361,                0.00048,                 1.4926,                 7.4023,                0.56412,                 1.8748,                 1.6971,                0.00056,                0.00056,                0.00056
                      2,                 1.3789,                 5.8446,                0.43513,                0.76875,                 1.4499,                0.89519,                0.85628,                0.93631,                0.54771,                0.00981,                0.05954,                0.00526,                0.00109,                 1.4413,                 7.7636,                0.26889,                 1.4928,                 1.6123,              0.0011356,              0.0011356,              0.0011356
                      3,                 1.3518,                 4.5134,                0.24524,                0.75217,                 1.4095,                0.89538,                0.85242,                0.92284,                 0.5169,                0.06128,                0.09059,                0.01582,                0.00289,                 1.5206,                 6.3375,                 0.2029,                 1.5735,                 1.6446,              0.0016933,              0.0016933,              0.0016933
                      4,                 1.3254,                 3.9603,                0.18682,                0.75581,                 1.3947,                0.88586,                0.85712,                0.92563,                0.55015,                0.28944,                0.28601,                0.11464,                0.02127,                 1.3646,                 5.5634,                0.15729,                 1.4739,                 1.5524,              0.0019305,              0.0019305,              0.0019305
                      5,                 1.2818,                 3.5208,                0.15573,                0.71899,                 1.3581,                0.89635,                0.86921,                0.93399,                0.55719,                0.49839,                0.45903,                0.29874,                 0.0626,                 1.4315,                 4.7222,                 0.1519,                 1.3139,                 1.5824,              0.0019305,              0.0019305,              0.0019305
                      6,                 1.2432,                 3.2652,                0.13877,                0.69658,                 1.3339,                0.89672,                0.87933,                0.93823,                0.56122,                 0.2341,                0.26056,                0.09238,                 0.0203,                 1.3773,                 5.4264,                0.13775,                0.96602,                 1.4679,              0.0018775,              0.0018775,              0.0018775
                      7,                 1.1901,                 3.1824,                0.13339,                0.67424,                 1.2879,                0.89903,                0.87837,                  0.947,                0.60002,                0.64243,                0.62087,                 0.5373,                0.13715,                  1.302,                 3.9683,                 0.1329,                0.76844,                 1.4179,              0.0018109,              0.0018109,              0.0018109
                      8,                 1.1593,                 2.9066,                0.12236,                0.65661,                 1.2735,                 0.8928,                0.87939,                0.94067,                0.55979,                0.77582,                0.74249,                0.71542,                0.24081,                 1.3637,                 3.2567,                0.12646,                0.76206,                 1.4623,              0.0017317,              0.0017317,              0.0017317
                      9,                 1.1456,                 2.8715,                0.11858,                0.65992,                 1.2726,                0.90933,                0.89312,                0.95118,                0.59799,                0.77612,                0.75216,                0.70603,                0.22525,                 1.3077,                 3.2842,                0.12199,                0.72403,                 1.4321,               0.001641,               0.001641,               0.001641
                     10,                 1.1122,                 2.7609,                0.11394,                0.63134,                 1.2467,                 0.9043,                0.88961,                0.95149,                0.59513,                0.75056,                0.73282,                0.68139,                0.22331,                 1.2959,                 3.2106,                0.11804,                0.71491,                 1.4103,              0.0015405,              0.0015405,              0.0015405
                     11,                 1.0668,                 2.6056,                0.10781,                0.62475,                 1.2177,                0.88912,                0.90127,                0.95246,                0.60528,                0.74352,                0.75369,                0.71445,                  0.221,                 1.3058,                  3.279,                0.11737,                0.69531,                 1.4075,              0.0014315,              0.0014315,              0.0014315
                     12,                 1.0295,                 2.4977,                0.10832,                 0.5932,                 1.1837,                0.89029,                0.89313,                0.94761,                0.58876,                0.81971,                0.80916,                0.80501,                0.34293,                 1.3118,                 2.7388,                0.11508,                0.70945,                 1.3913,              0.0013159,              0.0013159,              0.0013159
                     13,                0.99762,                 2.3739,                0.10424,                0.58297,                 1.1681,                0.90299,                0.90479,                0.95557,                0.59639,                0.80934,                0.80458,                0.77966,                0.33023,                 1.3041,                 2.7576,                0.11381,                0.68714,                  1.392,              0.0011955,              0.0011955,              0.0011955
                     14,                0.97881,                 2.3636,                 0.1052,                0.56801,                 1.1568,                0.91629,                0.89125,                0.95099,                0.59923,                0.83683,                0.81476,                0.81631,                0.35675,                 1.3034,                 2.6994,                0.11125,                 0.6708,                 1.3904,              0.0010722,              0.0010722,              0.0010722
                     15,                0.91986,                  2.212,                0.10479,                0.54857,                 1.1267,                0.91182,                0.89415,                0.95649,                0.61707,                0.83788,                0.81323,                0.81113,                0.34706,                 1.2616,                 2.7593,                0.11158,                0.64593,                 1.3703,             0.00094784,             0.00094784,             0.00094784
                     16,                0.88187,                 2.1485,                0.09823,                0.53068,                 1.0973,                0.91411,                0.88821,                0.95373,                0.61833,                0.84046,                0.81231,                0.82516,                 0.3681,                  1.243,                 2.6207,                0.11191,                 0.6516,                 1.3583,             0.00082449,             0.00082449,             0.00082449
                     17,                0.83453,                 2.0944,                0.09878,                0.50713,                 1.0763,                0.91169,                0.88788,                0.95176,                0.61182,                0.85636,                0.81934,                0.84028,                0.38423,                 1.2596,                 2.6227,                0.11029,                0.65329,                 1.3778,             0.00070407,             0.00070407,             0.00070407
                     18,                0.82247,                 2.0391,                0.10126,                0.49825,                 1.0647,                0.91151,                0.89059,                0.95432,                0.61177,                0.83616,                0.82545,                0.82843,                0.37743,                 1.2856,                 2.5788,                0.11232,                0.63947,                 1.3731,             0.00058848,             0.00058848,             0.00058848
                     19,                0.77952,                 1.9349,                0.09821,                0.48117,                 1.0393,                0.91122,                0.90359,                0.95564,                 0.6073,                0.84246,                0.83551,                0.83771,                0.40373,                 1.2889,                 2.4736,                0.11026,                0.63812,                 1.3934,             0.00047953,             0.00047953,             0.00047953
                     20,                0.75215,                 1.8735,                0.09465,                0.46302,                 1.0308,                0.91411,                0.89362,                0.95336,                0.61129,                0.85216,                0.83306,                 0.8382,                0.39299,                 1.2832,                 2.4861,                0.10858,                0.63667,                 1.3865,             0.00037895,             0.00037895,             0.00037895
                     21,                  0.714,                 1.8518,                0.09395,                0.45526,                 1.0129,                0.90549,                0.90691,                0.95571,                0.61838,                 0.8488,                 0.8485,                0.84808,                0.42245,                 1.2589,                  2.404,                 0.1085,                 0.6297,                 1.3748,             0.00028832,             0.00028832,             0.00028832
                     22,                0.68707,                 1.7712,                0.09409,                0.44526,                0.99825,                0.91959,                 0.8972,                0.95471,                0.62047,                0.85012,                0.84289,                0.84475,                0.42484,                 1.2561,                 2.3951,                0.10849,                0.63433,                 1.3804,             0.00020907,             0.00020907,             0.00020907
                     23,                0.65974,                  1.728,                0.09223,                0.42431,                0.98727,                0.91873,                0.87481,                0.95279,                0.60745,                0.85505,                0.82556,                0.84526,                0.42499,                 1.2937,                 2.3882,                0.10856,                0.65166,                 1.4085,             0.00014246,             0.00014246,             0.00014246
                     24,                0.63942,                 1.7326,                0.09347,                0.42342,                0.97425,                 0.9179,                0.89567,                 0.9546,                 0.6197,                0.86355,                0.84377,                0.85037,                0.42897,                 1.2532,                 2.3643,                 0.1077,                0.63619,                 1.3863,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     25,                0.62791,                 1.7031,                0.09258,                0.41097,                0.97112,                0.91766,                0.88476,                0.95296,                 0.6133,                0.85966,                 0.8341,                0.84814,                 0.4293,                 1.2676,                 2.3589,                0.10733,                0.64229,                 1.3982,             5.1103e-05,             5.1103e-05,             5.1103e-05
